"ID","PlotName","LiveOverstory","DeadOverstory","HerbCover","Cheatgrass","Shrubspp","ShrubCover","Hardwoodspp","HardwoodCov","Conifer_UnderstoryCov","BasalVeg","BareGround","Rock","Litter","WoodyDebris","Total","Notes"
14,155113.00,3.00,15.00,7.00,0.00,"CHFO","30","QUCH",5.00,2.00,0.50,3.00,0.00,96.00,0.50,100.00,
15,155115.00,8.00,8.00,0.50,0.00,"CEIN","20","QUCH",5.00,6.00,1.00,0.50,0.00,97.50,1.00,100.00,
16,155114.00,8.00,13.00,0.50,0.00,"CHFO","95","QUKE",8.00,5.00,1.00,0.00,0.00,98.50,0.50,100.00,
17,155131.00,0.50,8.00,0.50,0.50,"CHFO","75","QUKE",0.50,0.00,0.50,0.50,1.00,97.50,0.50,100.00,
18,155132.00,1.00,20.00,0.50,0.50,"CHFO","90","QUKE",1.00,0.00,0.50,0.50,0.50,98.00,0.50,100.00,
19,155133.00,3.00,10.00,10.00,0.50,"CHFO","30","QUKE",3.00,0.00,0.50,0.50,0.50,98.00,0.50,100.00,
20,155134.00,0.50,18.00,1.00,0.50,"CHFO","28","QUKE",0.50,0.00,0.50,0.00,0.50,98.50,0.50,100.00,
21,155135.00,1.00,20.00,1.00,0.50,"CHFO","10","QUCH",1.00,0.00,0.50,0.00,0.50,98.50,0.50,100.00,
22,155136.00,0.00,22.00,0.50,0.50,"CHFO","50","None",0.00,0.00,0.50,0.50,0.50,98.00,0.50,100.00,
23,4022012.00,0.50,1.00,0.50,0.00,"ARVI4","95","NA",0.00,0.50,1.00,0.00,0.00,0.50,98.50,100.00,
24,4022022.00,0.50,13.00,0.50,0.00,"ARVI4","92","QUCH",0.50,1.00,1.00,0.00,0.00,74.00,25.00,100.00,
25,4022042.00,1.00,2.00,0.50,0.50,"ARVI4","95","None",0.00,0.00,1.00,0.00,0.00,96.00,3.00,100.00,
26,4022072.00,0.50,25.00,0.50,0.00,"ARVI4","85","QUKE",0.50,0.50,1.00,0.00,0.00,84.00,15.00,100.00,
27,405201.00,5.00,3.00,0.50,0.00,"CHFO","98","QUKE",5.00,0.00,0.50,0.50,0.00,98.50,0.50,100.00,
28,405202.00,30.00,2.00,0.50,0.00,"CHFO","98","QUKE",25.00,2.00,1.00,0.50,0.00,98.00,0.50,100.00,
29,405204.00,5.00,12.00,0.50,0.00,"CHFO","65","QUKE",0.50,1.00,0.50,1.00,5.00,88.50,5.00,100.00,
30,405205.00,0.00,30.00,0.50,0.00,"CHFO","98","QUCH",0.50,2.00,0.50,0.00,0.00,98.50,1.00,100.00,
31,405206.00,60.00,0.00,6.00,0.00,"CHFO","15","QUKE",60.00,20.00,1.00,0.50,0.50,97.00,1.00,100.00,
32,405207.00,20.00,15.00,0.50,0.00,"CHFO","98","QUKE",18.00,2.00,0.50,0.00,0.00,99.00,0.50,100.00,
33,405208.00,7.00,20.00,0.50,0.00,"ARVI4","100","QUCH",0.50,1.00,0.50,0.50,0.00,98.00,1.00,100.00,
34,405210.00,15.00,3.00,0.50,0.00,"CHFO","97","QUKE",15.00,0.50,0.50,0.50,0.50,98.00,0.50,100.00,
35,155137.00,0.00,10.00,0.50,0.00,"CHFO","35","QUKE",0.50,0.00,0.50,0.50,0.00,98.50,0.50,100.00,
36,155138.00,0.50,13.00,0.50,0.00,"CHFO","73","QUKE",0.50,0.50,0.50,0.50,0.50,98.00,0.50,100.00,"maybe some cheat grass. sent pics to mark"
37,155141.00,5.00,15.00,0.50,0.00,"CHFO","10","QUCH",0.50,35.00,0.50,0.50,0.00,98.00,1.00,100.00,
38,155142.00,2.00,17.00,0.50,0.00,"CHFO","30","QUCH",0.50,65.00,1.00,0.50,0.00,97.50,1.00,100.00,
39,155143.00,0.50,20.00,0.50,0.00,"ARVI4","25","QUKE",0.50,25.00,0.50,0.50,0.50,98.00,0.50,100.00,"not overstory conifr cover mostly dead"
40,155144.00,1.00,25.00,0.50,0.00,"ARVI4","75","QUCH",1.00,12.00,0.50,0.00,0.00,99.00,0.50,100.00,"not overstry conifr mostly dead"
41,155147.00,3.00,1.00,0.50,0.00,"ARVI4","30","QUCH",0.50,25.00,0.50,1.00,0.00,98.00,0.50,100.00,
42,155146.00,0.50,6.00,0.50,0.00,"ARVI4","35","QUCH",0.50,0.50,0.50,0.50,0.00,98.50,0.50,100.00,
43,155148.00,0.50,20.00,0.50,0.00,"ARVI4","45","QUCH",0.50,5.00,0.50,0.50,0.00,98.50,0.50,100.00,
44,155149.00,0.50,4.00,0.50,0.00,"ARVI4","75","QUKE",0.50,2.00,0.50,0.50,0.00,98.50,0.50,100.00,
45,155161.00,10.00,2.00,0.50,0.00,"ROBR","1","QUCH",0.50,50.00,1.00,0.50,0.00,96.50,2.00,100.00,"conifr cover jot overstory mostly alive, ROBR = rosa bridgesii (wood rose)"
46,155162.00,25.00,0.00,1.00,0.00,"ROBR","5","QUKE",0.50,20.00,1.00,0.50,0.00,98.00,0.50,100.00,
47,155163.00,22.00,4.00,0.50,0.00,"ROBR","0.5","None",0.00,35.00,1.00,0.00,0.00,98.50,0.50,100.00,
48,155164.00,20.00,0.00,2.00,0.00,"CEIN","25","CONU",1.00,30.00,0.50,0.50,0.00,98.00,1.00,100.00,
49,155168.00,5.00,0.00,0.50,0.00,"CHFO","25","unkn salix (maybe lutea?)",6.00,50.00,1.00,0.50,0.00,94.50,4.00,100.00,
50,167601.00,5.00,8.00,2.00,0.00,"ARVI4","7","QUKE",3.00,4.00,0.50,7.00,0.00,92.00,0.50,100.00,
51,167605.00,5.00,12.00,0.50,0.00,"ARVI4","3","None",0.00,1.00,0.50,0.50,0.50,97.50,1.00,100.00,
52,362014.00,20.00,0.00,0.50,0.00,"ARPA","2","QUKE",0.50,7.00,0.50,0.50,0.00,98.00,1.00,100.00,
53,362015.00,18.00,0.00,1.00,0.00,"SYMO","10","None",0.00,10.00,1.00,0.50,0.00,98.00,0.50,100.00,
54,362026.00,5.00,0.00,0.50,0.00,"CHFO","20","None",0.00,15.00,0.50,0.50,0.00,98.50,0.50,100.00,
55,362027.00,15.00,4.00,0.50,0.00,"SYMO","17","QUKE",0.50,25.00,1.00,0.50,0.00,98.00,0.50,100.00,
56,362034.00,10.00,0.00,0.50,0.00,"ROBR","25","NONE",0.00,17.00,0.50,0.50,0.00,98.00,1.00,100.00,
57,1676112.00,0.50,7.00,0.50,0.00,"ARVI4","75","QUKE",0.50,2.00,0.50,0.50,0.00,98.50,0.50,100.00,
58,1676122.00,0.50,8.00,0.50,0.00,"ARVI4","55","QUCH",0.50,5.00,0.50,0.50,0.00,98.50,0.50,100.00,
59,1676132.00,0.50,15.00,0.50,0.00,"ARVI4","30","QUKE",0.50,5.00,0.50,0.50,0.00,98.50,0.50,100.00,
60,1676152.00,0.50,7.00,0.50,0.00,"ARVI4","20","QUKE",3.00,2.00,0.50,0.50,0.00,98.50,0.50,100.00,
61,3620022.00,30.00,4.00,0.50,0.00,"CECU","10","None",0.00,55.00,1.00,0.50,0.00,98.00,0.50,100.00,
62,3620032.00,10.00,0.00,0.50,0.00,"CECO","20","QUKE",0.50,55.00,1.00,0.50,0.50,97.00,1.00,100.00,
63,3620042.00,15.00,0.00,0.50,0.00,"CELE","35","QUKE",0.50,35.00,1.00,0.50,0.00,97.50,1.00,100.00,
64,3620062.00,23.00,3.00,0.00,0.00,"CELE","4","QUKE",0.50,35.00,1.00,0.50,0.00,92.50,6.00,100.00,
65,3620072.00,25.00,0.00,0.50,0.00,"None","0","None",0.00,35.00,1.00,0.50,0.00,98.00,0.50,100.00,
66,3620252.00,5.00,22.00,0.50,0.00,"CECO","2","None",0.00,75.00,0.50,0.00,0.00,99.00,0.50,100.00,
67,3620282.00,30.00,0.00,0.00,0.00,"RIMO","0.5","QUKE",0.50,20.00,1.00,0.00,0.00,98.50,0.50,100.00,"old dead hardwood stump jn plot not included in hardwood cover. RIMO= Ribes montigenum"
68,3620302.00,15.00,10.00,0.50,0.00,"SYMO","0.5","None",0.00,10.00,0.50,0.00,0.00,98.50,1.00,100.00,
69,167606.00,14.00,15.00,0.50,0.00,"TODI","8","QUCH",3.00,15.00,0.50,0.50,0.50,96.50,2.00,100.00,
70,167616.00,10.00,5.00,0.50,0.00,"ARVI4","10","QUCH",0.50,20.00,0.50,0.50,0.50,96.50,2.00,100.00,
71,167621.00,8.00,12.00,1.00,0.00,"ARVI4","7","QUCH",18.00,15.00,0.50,0.50,0.00,98.50,0.50,100.00,
72,167625.00,35.00,18.00,0.50,0.00,"TODI","2","QUKE",30.00,5.00,0.50,0.50,0.00,98.50,0.50,100.00,
73,167644.00,10.00,8.00,0.50,0.00,"ARVI4","30","QUKE",0.50,3.00,0.50,0.50,0.50,98.00,0.50,100.00,
74,1676142.00,2.00,15.00,0.50,0.00,"ARVI4","37","QUKE",3.00,8.00,0.50,0.50,0.00,98.00,1.00,100.00,
75,1676502.00,0.00,20.00,0.50,0.00,"ARVI4","85","QUKE",0.50,2.00,0.50,0.50,0.00,98.50,0.50,100.00,
76,1676522.00,20.00,8.00,1.00,0.00,"ARVI4","12","QUKE",25.00,12.00,0.50,0.50,0.50,97.50,1.00,100.00,"not overstory aboutnhslf dead"
77,1676582.00,15.00,0.00,0.50,0.00,"TODI","0.5","QUKE",0.50,45.00,0.50,0.50,0.50,97.50,1.00,100.00,"about half of conifer understory dead. maybe oso berry? but too short. pics on julias phone. if not shrub, dom sheub is TODI."
78,109002.00,18.00,0.00,0.50,0.00,"CHFO","90","QUKE",3.00,20.00,0.50,0.50,0.00,98.50,0.50,100.00,
79,109004.00,30.00,0.00,0.50,0.00,"CHFO","10","QUKE",0.50,15.00,0.50,0.50,0.50,98.00,0.50,100.00,
80,109005.00,55.00,0.00,0.50,0.00,"CHFO","95","None",0.00,4.00,0.50,0.00,0.00,99.00,0.50,100.00,
81,109006.00,10.00,20.00,0.50,0.00,"CHFO","70","QUKE",0.50,3.00,0.50,0.50,0.50,98.00,0.50,100.00,
82,109007.00,25.00,0.00,0.50,0.00,"CHFO","35","QUKE",0.50,20.00,0.50,0.50,0.50,98.00,0.50,100.00,
83,109008.00,35.00,0.00,0.50,0.50,"CEIN","5","QUKE",5.00,12.00,0.50,2.00,0.50,95.00,2.00,100.00,
84,109009.00,12.00,0.00,0.50,0.00,"CEIN","10","QUKE",0.50,20.00,0.50,1.00,0.50,83.00,15.00,100.00,
85,109010.00,20.00,0.00,0.50,0.00,"CEIN","25","QUKE",0.50,0.50,0.50,0.50,0.50,97.50,1.00,100.00,
86,155165.00,15.00,8.00,14.00,0.00,"CEIN","0.5","QUKE",0.50,25.00,0.50,0.00,0.00,97.50,2.00,100.00,
87,1090012.00,11.00,13.00,0.50,0.00,"ROBR","0.5","None",0.00,55.00,0.50,0.50,0.50,95.50,3.00,100.00,"half of conifer understorydead"
88,1090042.00,9.00,18.00,0.50,0.00,"CEIN","0.5","QUKE",0.50,30.00,0.50,0.50,0.50,97.50,1.00,100.00,
89,1090082.00,12.00,0.00,0.50,0.00,"CEIN","4","QUKE",0.50,22.00,1.00,0.00,0.00,98.00,1.00,100.00,
90,1090092.00,20.00,0.00,0.50,0.00,"SYMO","2","QUKE",0.50,55.00,0.50,1.00,0.50,97.00,1.00,100.00,
91,1090122.00,8.00,15.00,0.50,0.00,"CHFO","45","QUKE",0.50,30.00,0.50,0.00,0.50,98.50,0.50,100.00,
92,1090132.00,15.00,25.00,0.50,0.00,"CHFO","75","QUKE",0.50,15.00,0.50,0.00,0.00,99.00,0.50,100.00,"half of not overstory cover dead"
93,1090142.00,40.00,0.00,0.50,0.00,"CHFO","10","QUKE",0.50,15.00,1.00,0.00,0.00,98.50,0.50,100.00,
94,1090152.00,15.00,25.00,0.50,0.00,"CHFO","2","None",0.00,50.00,0.50,0.00,0.50,97.00,2.00,100.00,
95,167603.00,23.00,7.00,0.50,0.00,"ARVI4","1","QUKE",25.00,1.00,0.50,0.50,0.50,97.50,1.00,100.00,
96,1760101.00,11.00,9.00,0.00,0.00,"ARVI4","50","QUCH",30.00,2.00,0.50,0.50,1.00,97.50,0.50,100.00,
97,1760106.00,18.00,25.00,0.50,0.00,"ARVI4","40","QUCH",55.00,0.50,0.50,0.50,3.00,95.50,0.50,100.00,
98,1760116.00,5.00,5.00,0.50,0.00,"ARVI4","85","QUKE",35.00,1.00,0.50,0.00,4.00,95.00,0.50,100.00,
99,1760118.00,3.00,0.00,0.50,0.00,"ARVI4","95","QUKE",5.00,8.00,0.50,0.50,0.50,98.00,0.50,100.00,
100,1760606.00,10.00,0.00,0.00,0.00,"CHFO","93","QUKE",7.00,10.00,0.50,0.50,0.50,98.00,0.50,100.00,
101,1760611.00,12.00,0.00,0.50,0.00,"CHFO","95","QUCH",0.50,10.00,0.50,0.50,0.00,98.50,0.50,100.00,
102,1760613.00,11.00,5.00,0.50,0.00,"CHFO","70","QUCH",0.50,15.00,0.50,0.50,0.00,98.50,0.50,100.00,
103,1760622.00,8.00,8.00,0.50,0.00,"CHFO","40","QUKE",4.00,5.00,0.50,0.50,0.50,97.50,1.00,100.00,
104,17601032.00,12.00,25.00,1.00,0.00,"CHFO","20","QUCH",7.00,50.00,0.50,0.50,0.00,97.00,2.00,100.00,
105,17601072.00,19.00,0.00,0.00,0.00,"TODI","8","QUCH",80.00,5.00,1.00,0.50,0.50,97.50,0.50,100.00,
106,17601092.00,23.00,0.00,0.50,0.00,"ARVI4","63","QUCH",40.00,8.00,0.50,0.50,1.00,97.50,0.50,100.00,
107,1760112.00,30.00,0.00,0.50,0.00,"ARVI4","10","QUKE",17.00,7.00,0.50,0.00,0.50,98.50,0.50,100.00,
108,17601132.00,10.00,4.00,0.50,0.00,"ARVI4","80","QUCH",22.00,1.00,0.50,0.00,0.50,98.00,1.00,100.00,
109,17601142.00,20.00,0.00,0.00,0.00,"CHFO","25","QUCH",45.00,5.00,0.50,0.00,0.00,99.00,0.50,100.00,
110,17606082.00,8.00,0.00,0.00,0.00,"CHFO","30","QUKE",55.00,70.00,0.50,0.00,0.50,98.50,0.50,100.00,
111,17606102.00,30.00,0.00,0.50,0.00,"CHFO","15","QUKE",30.00,40.00,0.50,0.50,0.00,97.00,2.00,100.00,
112,155157.00,15.00,0.00,0.50,0.00,"CHFO","93","None",0.00,4.00,0.50,0.50,0.50,98.00,0.50,100.00,
113,155158.00,3.00,0.00,0.00,0.00,"CHFO","70","QUKE",25.00,13.00,0.50,0.50,13.00,85.50,0.50,100.00,
114,155166.00,8.00,0.00,20.00,0.00,"CHFO","20","QUKE",5.00,65.00,1.00,0.50,0.00,82.50,16.00,100.00,
115,155167.00,15.00,0.00,0.50,0.00,"CHFO","55","QUKE",0.50,55.00,0.50,0.50,0.50,87.50,11.00,100.00,
116,245000.00,15.00,0.00,0.50,0.00,"CHFO","65","None",0.00,8.00,0.50,0.50,0.50,95.50,3.00,100.00,
117,249000.00,0.00,18.00,0.50,0.00,"CEIN","90","QUKE",0.50,12.00,0.50,0.50,0.50,83.50,15.00,100.00,
118,362002.00,15.00,0.00,0.50,0.00,"ARPA","25","QUKE",0.50,30.00,0.50,1.00,0.50,97.00,1.00,100.00,
119,362012.00,8.00,0.00,0.50,0.00,"PRVI","18","None",0.00,55.00,0.50,1.00,0.50,97.50,0.50,100.00,"PRVI = prunus virginiana"
120,362035.00,10.00,0.00,0.50,0.00,"CECO","55","QUKE",0.50,35.00,0.50,0.50,0.50,98.00,0.50,100.00,
121,402000.00,3.00,0.00,0.50,0.00,"CHFO","80","QUKE",5.00,11.00,0.50,0.50,0.00,98.50,0.50,100.00,
122,404000.00,5.00,3.00,1.00,0.00,"CHFO","99","QUKE",22.00,0.50,0.50,0.00,0.50,98.00,1.00,100.00,
123,410000.00,10.00,0.00,0.00,0.00,"ARVI4","30","QUKE",7.00,0.00,0.50,0.50,0.50,83.50,15.00,100.00,
124,411000.00,5.00,0.00,0.50,0.00,"ARVI4","25","QUKE",20.00,6.00,0.50,0.50,0.50,90.50,8.00,100.00,
125,414000.00,6.00,7.00,8.00,0.00,"CHFO","15","QUKE",8.00,9.00,0.50,0.00,0.00,98.50,1.00,100.00,
126,432000.00,12.00,0.00,0.50,0.00,"CHFO","7","QUKE",5.00,15.00,0.50,0.50,0.50,97.50,1.00,100.00,
127,435000.00,8.00,0.00,0.50,0.00,"CHFO","10","QUKE",5.00,25.00,0.50,0.50,0.00,96.00,3.00,100.00,
128,439000.00,8.00,0.00,0.50,0.00,"CHFO","35","QUKE",0.50,7.00,0.50,0.50,0.00,98.50,0.50,100.00,
129,561000.00,7.00,0.00,0.50,0.00,"ARVI4","55","QUKE",0.50,75.00,1.00,0.50,0.50,95.00,3.00,100.00,
130,562000.00,15.00,0.00,0.50,0.00,"ARVI4","20","QUKE",0.50,45.00,1.00,0.50,0.50,97.50,0.50,100.00,
131,564000.00,10.00,0.00,0.50,0.00,"CHFO","70","QUKE",0.50,30.00,0.50,0.00,0.00,98.50,1.00,100.00,
132,570000.00,20.00,0.00,0.00,0.00,"CHFO","95","QUCH",0.50,25.00,1.00,0.00,0.00,98.50,0.50,100.00,
133,632000.00,5.00,3.00,0.50,0.00,"RUDI","13","QUKE",10.00,17.00,0.50,0.50,1.00,97.50,0.50,100.00,
134,634000.00,3.00,7.00,1.00,0.00,"RUDI","3","QUKE",25.00,12.00,0.50,0.50,0.00,98.50,0.50,100.00,"piecces of cement on ground"
135,636000.00,18.00,0.00,0.50,0.00,"ARVI4","65","QUKE",17.00,20.00,0.50,0.50,1.00,97.50,0.50,100.00,
136,637000.00,12.00,0.00,0.50,0.00,"ARVI4","70","QUKE",5.00,3.00,0.50,0.50,0.50,95.50,3.00,100.00,
137,155151.00,20.00,1.00,20.00,0.00,"CECO","15","QUKE",0.50,0.00,1.00,0.50,0.00,68.50,30.00,100.00,
138,155152.00,25.00,3.00,1.00,0.00,"CECO","2",,0.00,0.00,1.00,0.50,3.00,70.50,25.00,100.00,
139,155153.00,30.00,1.00,0.50,0.00,"CHFO","7","QUKE",1.00,0.50,1.00,0.50,10.00,68.50,20.00,100.00,
140,155154.00,35.00,2.00,0.00,0.00,"RIRO","1","QUKE",2.00,1.00,1.00,0.50,5.00,78.50,15.00,100.00,
141,155155.00,10.00,2.00,0.50,0.00,"CHFO","25","QUKE",2.00,1.00,1.00,3.00,4.00,84.00,8.00,100.00,
142,155156.00,15.00,1.00,0.00,0.00,"CHFO","90","QUKE",3.00,1.00,1.00,0.50,1.00,94.50,3.00,100.00,
143,4022052.00,1.00,20.00,0.50,0.00,"ARVI4","97","QUKE",0.50,0.50,1.00,0.00,0.50,98.00,0.50,100.00,
144,4022062.00,2.00,23.00,0.50,0.00,"ARVI4","90","QUCH",0.50,0.50,1.00,0.50,0.00,98.00,0.50,100.00,
145,4022082.00,1.00,23.00,0.50,0.00,"ARVI4","75","QUKE",0.50,1.00,0.50,0.00,0.00,99.00,0.50,100.00,
146,4022092.00,8.00,1.00,0.50,0.00,"ARVI4","95","QUKE",8.00,0.00,1.00,0.50,0.00,98.00,0.50,100.00,
147,241000.00,1.00,12.00,0.50,0.00,"CHFO","96","QUCH",0.50,3.00,0.50,0.50,0.50,97.50,1.00,100.00,
148,247000.00,10.00,0.00,0.50,0.00,"CHFO","65","QUCH",0.50,5.00,0.50,1.00,0.50,91.00,7.00,100.00,
149,248000.00,10.00,13.00,0.50,0.00,"CHFO","35","QUKE",12.00,7.00,0.50,0.50,0.50,95.50,3.00,100.00,
150,301000.00,8.00,6.00,0.50,0.00,"CHFO","15","QUKE",18.00,80.00,0.50,0.50,0.50,94.50,4.00,100.00,
151,302000.00,4.00,0.00,0.50,0.00,"CHFO","17","QUKE",1.00,45.00,0.50,0.50,0.50,68.50,30.00,100.00,
152,304000.00,4.00,8.00,0.50,0.00,"CHFO","27","QUKE",4.00,65.00,0.50,0.50,0.50,98.00,0.50,100.00,
153,305000.00,12.00,10.00,0.50,0.00,"CEIN","0.5","QUCH",0.50,35.00,0.50,0.50,0.00,74.00,25.00,100.00,
154,307000.00,15.00,0.00,0.50,0.00,"CHFO","20","QUCH",8.00,35.00,0.50,0.00,0.50,90.00,9.00,100.00,
155,308000.00,5.00,6.00,0.50,0.00,"CHFO","0.5","QUKE",0.50,55.00,0.50,0.50,0.50,83.50,15.00,100.00,
156,311000.00,12.00,0.00,0.50,0.00,"CHFO","20","QUKE",0.50,80.00,0.50,0.50,0.50,68.50,30.00,100.00,
157,312000.00,1.00,15.00,0.50,0.00,"CHFO","75","QUCH",0.50,15.00,0.50,0.00,0.50,94.00,5.00,100.00,
158,242000.00,2.00,10.00,0.50,0.00,"CHFO","95","QUKE",5.00,15.00,0.50,0.50,0.50,98.00,0.50,100.00,
159,243000.00,70.00,30.00,0.10,0.00,"CHFO","85","NA",0.00,10.00,20.00,0.10,2.50,67.40,10.00,100.00,
160,,,,,,,,,,,,,,,,0.00,
161,,,,,,,,,,,,,,,,0.00,
162,,,,,,,,,,,,,,,,0.00,
163,,,,,,,,,,,,,,,,0.00,
164,,,,,,,,,,,,,,,,0.00,
165,,,,,,,,,,,,,,,,0.00,
166,,,,,,,,,,,,,,,,0.00,
167,,,,,,,,,,,,,,,,0.00,
168,,,,,,,,,,,,,,,,0.00,
169,,,,,,,,,,,,,,,,0.00,
170,,,,,,,,,,,,,,,,0.00,
171,,,,,,,,,,,,,,,,0.00,
172,,,,,,,,,,,,,,,,0.00,
173,,,,,,,,,,,,,,,,0.00,
174,,,,,,,,,,,,,,,,0.00,
175,,,,,,,,,,,,,,,,0.00,
176,,,,,,,,,,,,,,,,0.00,
177,,,,,,,,,,,,,,,,0.00,
178,,,,,,,,,,,,,,,,0.00,
179,,,,,,,,,,,,,,,,0.00,
180,,,,,,,,,,,,,,,,0.00,
181,,,,,,,,,,,,,,,,0.00,
182,,,,,,,,,,,,,,,,0.00,
183,,,,,,,,,,,,,,,,0.00,
184,,,,,,,,,,,,,,,,0.00,
185,,,,,,,,,,,,,,,,0.00,
186,,,,,,,,,,,,,,,,0.00,
187,,,,,,,,,,,,,,,,0.00,
188,,,,,,,,,,,,,,,,0.00,
189,,,,,,,,,,,,,,,,0.00,
190,,,,,,,,,,,,,,,,0.00,
191,,,,,,,,,,,,,,,,0.00,
192,,,,,,,,,,,,,,,,0.00,
193,,,,,,,,,,,,,,,,0.00,
194,,,,,,,,,,,,,,,,0.00,
195,,,,,,,,,,,,,,,,0.00,
196,,,,,,,,,,,,,,,,0.00,
197,,,,,,,,,,,,,,,,0.00,
198,,,,,,,,,,,,,,,,0.00,
199,,,,,,,,,,,,,,,,0.00,
200,,,,,,,,,,,,,,,,0.00,
201,,,,,,,,,,,,,,,,0.00,
202,,,,,,,,,,,,,,,,0.00,
203,,,,,,,,,,,,,,,,0.00,
204,,,,,,,,,,,,,,,,0.00,
205,,,,,,,,,,,,,,,,0.00,
206,,,,,,,,,,,,,,,,0.00,
207,,,,,,,,,,,,,,,,0.00,
208,,,,,,,,,,,,,,,,0.00,
209,,,,,,,,,,,,,,,,0.00,
210,,,,,,,,,,,,,,,,0.00,
211,,,,,,,,,,,,,,,,0.00,
212,,,,,,,,,,,,,,,,0.00,
213,,,,,,,,,,,,,,,,0.00,
214,,,,,,,,,,,,,,,,0.00,
215,,,,,,,,,,,,,,,,0.00,
216,,,,,,,,,,,,,,,,0.00,
217,,,,,,,,,,,,,,,,0.00,
218,,,,,,,,,,,,,,,,0.00,
219,,,,,,,,,,,,,,,,0.00,
220,,,,,,,,,,,,,,,,0.00,
221,,,,,,,,,,,,,,,,0.00,
222,,,,,,,,,,,,,,,,0.00,
223,,,,,,,,,,,,,,,,0.00,
224,,,,,,,,,,,,,,,,0.00,
225,,,,,,,,,,,,,,,,0.00,
226,,,,,,,,,,,,,,,,0.00,
227,,,,,,,,,,,,,,,,0.00,
228,,,,,,,,,,,,,,,,0.00,
229,,,,,,,,,,,,,,,,0.00,
230,,,,,,,,,,,,,,,,0.00,
231,,,,,,,,,,,,,,,,0.00,
232,,,,,,,,,,,,,,,,0.00,
233,,,,,,,,,,,,,,,,0.00,
234,,,,,,,,,,,,,,,,0.00,
235,,,,,,,,,,,,,,,,0.00,
236,,,,,,,,,,,,,,,,0.00,
237,,,,,,,,,,,,,,,,0.00,
238,,,,,,,,,,,,,,,,0.00,
239,,,,,,,,,,,,,,,,0.00,
240,,,,,,,,,,,,,,,,0.00,
241,,,,,,,,,,,,,,,,0.00,
242,,,,,,,,,,,,,,,,0.00,
243,,,,,,,,,,,,,,,,0.00,
244,,,,,,,,,,,,,,,,0.00,
245,,,,,,,,,,,,,,,,0.00,
246,,,,,,,,,,,,,,,,0.00,
247,,,,,,,,,,,,,,,,0.00,
248,,,,,,,,,,,,,,,,0.00,
249,,,,,,,,,,,,,,,,0.00,
250,,,,,,,,,,,,,,,,0.00,
251,,,,,,,,,,,,,,,,0.00,
252,,,,,,,,,,,,,,,,0.00,
253,,,,,,,,,,,,,,,,0.00,
254,,,,,,,,,,,,,,,,0.00,
255,,,,,,,,,,,,,,,,0.00,
256,,,,,,,,,,,,,,,,0.00,
257,,,,,,,,,,,,,,,,0.00,
258,,,,,,,,,,,,,,,,0.00,
259,,,,,,,,,,,,,,,,0.00,
260,,,,,,,,,,,,,,,,0.00,
261,,,,,,,,,,,,,,,,0.00,
262,,,,,,,,,,,,,,,,0.00,
263,,,,,,,,,,,,,,,,0.00,
264,,,,,,,,,,,,,,,,0.00,
265,,,,,,,,,,,,,,,,0.00,
266,,,,,,,,,,,,,,,,0.00,
267,,,,,,,,,,,,,,,,0.00,
268,,,,,,,,,,,,,,,,0.00,
269,,,,,,,,,,,,,,,,0.00,
270,,,,,,,,,,,,,,,,0.00,
